Subject,Country,Value,Frequency
Total,Austria,2.70877,Annual
Total,Finland,6.475761,Annual
Total,Germany,6.986428,Annual
Total,Hungary,7.958745,Annual
Total,Netherlands,7.421792,Annual
Total,New Zealand,2.615233,Annual
Total,Spain,8.27229,Annual
Total,Spain,-0.202598,Annual
Total,Chile,21.78442,Annual
Total,Russia,20.79877,Annual
Total,Lithuania,1.319214,Annual
Total,Canada,49.75639,Annual
Total,Iceland,0.114946,Annual
Total,Luxembourg,52.42618,Annual
Total,Sweden,8.113137,Annual
Total,India,7.411872,Annual
Total,OECD - Total,14.59526,Annual
Energy,France,15.97434,Annual
Energy,Iceland,-2.249235,Annual
Energy,Portugal,0.4657396,Annual
Energy,Spain,-3.816931,Annual
Energy,Israel,9.910017,Annual
Energy,G7,7.650886,Annual
Energy,Lithuania,8.720504,Annual
Energy,Denmark,53.27346,Annual
Energy,Germany,53.55988,Annual
Energy,Korea,34.41233,Annual
Energy,Switzerland,57.52409,Annual
Food,Czech Republic,4.423974,Annual
Food,Denmark,1.664407,Annual
Food,Iceland,2.751847,Annual
Food,Switzerland,1.64154,Annual
Food,Turkey,11.14611,Annual
Food,Latvia,7.403585,Annual
Food,United Kingdom,13.44845,Annual
"Total less food, less energy",South Africa,5.208043,Annual
"Total less food, less energy",Mexico,20.99635,Annual
"Total less food, less energy",Sweden,0.8972504,Annual
"Total less food, less energy",Latvia,0.4255924,Annual
"Total less food, less energy",Denmark,4.086957,Annual
"Total less food, less energy",United Kingdom,4.795882,Annual
"Total less food, less energy",Colombia,17.11401,Annual
"Total less food, less energy",Lithuania,7.203485,Annual
"Total less food, less energy",Germany,38.08525,Annual
"Total less food, less energy",Switzerland,23.71208,Annual
Total,Belgium,6.341776,Annual
Total,Denmark,7.695135,Annual
Total,Hungary,14.15379,Annual
Total,Luxembourg,3.096375,Annual
Total,Norway,2.041703,Annual
Total,Spain,1.971078,Annual
Total,Indonesia,6.415542,Annual
Total,Latvia,4.370736,Annual
Total,Germany,21.97429,Annual
Total,Netherlands,26.56894,Annual
Total,Brazil,53.78378,Annual
Total,Indonesia,13.39272,Annual
Total,South Africa,2.483495,Annual
Energy,Finland,12.55305,Annual
Energy,Iceland,-5.522176,Annual
Energy,Netherlands,18.06764,Annual
Energy,Switzerland,3.420021,Annual
Energy,Canada,24.06468,Annual
Energy,Ireland,31.79317,Annual
Energy,Turkey,7.079171,Annual
Energy,United States,11.75074,Annual
Food,Finland,2.862667,Annual
Food,New Zealand,1.079859,Annual
Food,Slovak Republic,4.802956,Annual
Food,Israel,17.51951,Annual
Food,OECD - Europe,0.9870391,Annual
Food,Canada,56.40678,Annual
Food,New Zealand,35.35365,Annual
Food,OECD - Europe,16.81793,Annual
"Total less food, less energy",OECD - Europe,7.336268,Annual
"Total less food, less energy",Germany,0.8326233,Annual
"Total less food, less energy",Belgium,1.762235,Annual
"Total less food, less energy",Denmark,0.8730215,Annual
"Total less food, less energy",Japan,2.648175,Annual
"Total less food, less energy",Russia,14.15,Annual
"Total less food, less energy",Italy,6.187496,Annual
"Total less food, less energy",United States,13.12712,Annual
"Total less food, less energy",G7,21.91362,Annual
Total,Belgium,0.2994558,Annual
Total,Denmark,1.693266,Annual
Total,Germany,3.450237,Annual
Total,Italy,2.043106,Annual
Total,Norway,1.532134,Annual
Total,Sweden,1.157988,Annual
Total,Chile,21.78442,Annual
Total,Russia,9.668655,Annual
Total,Colombia,29.13782,Annual
Total,Belgium,56.68556,Annual
Total,France,8.967824,Annual
Total,Greece,0.9945122,Annual
Total,Italy,14.88,Annual
Energy,Finland,2.081926,Annual
Energy,Germany,1.126113,Annual
Energy,Italy,-0.1532698,Annual
Energy,Luxembourg,-4.194628,Annual
Energy,OECD - Europe,26.57487,Annual
Energy,Denmark,8.168981,Annual
Energy,Mexico,15.04476,Annual
Energy,Turkey,11.06837,Annual
Energy,United States,43.98827,Annual
Food,Australia,-1.449722,Annual
Food,Denmark,6.444566,Annual
Food,France,2.88914,Annual
Food,Luxembourg,1.099162,Annual
Food,Spain,3.866757,Annual
Food,United Kingdom,0.8,Annual
Food,Israel,-1.246608,Annual
Food,Australia,49.48513,Annual
Food,France,24.44026,Annual
Food,G7,18.19863,Annual
"Total less food, less energy",OECD - Europe,7.691064,Annual
"Total less food, less energy",Portugal,2.514371,Annual
"Total less food, less energy",Sweden,11.22659,Annual
"Total less food, less energy",Belgium,1.398608,Annual
"Total less food, less energy",United Kingdom,22.05399,Annual
"Total less food, less energy",Australia,2.573924,Annual
"Total less food, less energy",G7,10.88788,Annual
"Total less food, less energy",Mexico,0.09024879,Annual
"Total less food, less energy",Turkey,1.65925,Annual
"Total less food, less energy",European Union – 27 countries (from 01/02/2020),1.0,Annual
Total,Greece,12.57242,Annual
Total,Iceland,1.69693,Annual
Total,Japan,4.209566,Annual
Total,New Zealand,2.680851,Annual
Total,Portugal,3.424936,Annual
Total,China (People's Republic of),3.3,Annual
Total,Slovenia,7.891166,Annual
Total,Saudi Arabia,-0.3712695,Annual
Energy,Austria,12.25716,Annual
Energy,Finland,10.47328,Annual
Energy,Netherlands,4.003268,Annual
Energy,United Kingdom,8.9985,Annual
Energy,OECD - Total,0.2522164,Annual
Food,Australia,9.325144,Annual
Food,Germany,4.454037,Annual
Food,Ireland,7.247779,Annual
Food,Luxembourg,9.00308,Annual
Food,Mexico,4.050961,Annual
Food,United States,2.363116,Annual
Food,Latvia,2.395751,Annual
"Total less food, less energy",Ireland,0.930057,Annual
"Total less food, less energy",Denmark,10.60932,Annual
"Total less food, less energy",Netherlands,7.722053,Annual
"Total less food, less energy",Spain,6.963696,Annual
Total,Austria,0.5689865,Annual
Total,Canada,0.9382919,Annual
Total,Greece,3.184713,Annual
Total,Korea,2.273957,Annual
Total,Netherlands,2.091998,Annual
Total,New Zealand,3.721602,Annual
Total,Sweden,1.953535,Annual
Total,Turkey,8.756181,Annual
Total,Estonia,2.780567,Annual
Total,Belgium,59.12534,Annual
Total,France,10.65889,Annual
Total,New Zealand,5.419219,Annual
Total,India,29.6634,Annual
Energy,Austria,-2.383262,Annual
Energy,Belgium,5.393486,Annual
Energy,Finland,3.786963,Annual
Energy,Luxembourg,2.677893,Annual
Energy,Poland,15.13568,Annual
Energy,Slovak Republic,0.07539768,Annual
Energy,Slovenia,8.426538,Annual
Energy,Austria,34.9507,Annual
Energy,Mexico,0.06502924,Annual
Energy,Chile,36.96462,Annual
Food,Belgium,2.556108,Annual
Food,Germany,4.760598,Annual
Food,Japan,4.856029,Annual
Food,Netherlands,2.391774,Annual
Food,Norway,1.81029,Annual
Food,Brazil,9.656523,Annual
Food,OECD - Total,10.61103,Annual
Food,Latvia,-1.086616,Annual
Food,Greece,58.14117,Annual
Food,Netherlands,31.15592,Annual
Food,Portugal,36.82372,Annual
Food,Brazil,44.56269,Annual
Food,G7,26.70154,Annual
"Total less food, less energy",Italy,4.429715,Annual
"Total less food, less energy",Belgium,1.881925,Annual
"Total less food, less energy",United Kingdom,13.20862,Annual
"Total less food, less energy",Australia,1.88515,Annual
"Total less food, less energy",Turkey,6.806795,Annual
"Total less food, less energy",Canada,30.11034,Annual
"Total less food, less energy",Portugal,50.01486,Annual
Total,Australia,11.35182,Annual
Total,Finland,2.740442,Annual
Total,France,9.250559,Annual
Total,Korea,1.944456,Annual
Total,Mexico,4.111508,Annual
Total,Portugal,15.86748,Annual
Total,Switzerland,9.767415,Annual
Total,Indonesia,9.278655,Annual
Energy,Belgium,7.751405,Annual
Energy,Germany,-2.826429,Annual
Energy,Mexico,18.94106,Annual
Energy,Sweden,-0.01732461,Annual
Energy,United States,-5.891073,Annual
Food,Austria,0.3166667,Annual
Food,France,1.967584,Annual
Food,Luxembourg,5.367156,Annual
Food,Netherlands,4.381968,Annual
Food,Slovak Republic,3.986784,Annual
Food,China (People's Republic of),-4.2,Annual
Food,Latvia,-1.262942,Annual
"Total less food, less energy",OECD - Europe,4.96733,Annual
"Total less food, less energy",Italy,2.111424,Annual
"Total less food, less energy",OECD - Total,5.897082,Annual
"Total less food, less energy",United Kingdom,1.9,Annual
"Total less food, less energy",Colombia,4.367243,Annual
Total,Australia,3.439153,Annual
Total,Belgium,4.469084,Annual
Total,France,3.057669,Annual
Total,Luxembourg,0.3868793,Annual
Total,New Zealand,1.656186,Annual
Total,Sweden,9.911724,Annual
Total,Chile,2.182719,Annual
Total,G7,2.9143,Annual
Total,Colombia,25.18797,Annual
Total,Finland,7.479092,Annual
Total,Turkey,5.504109e-05,Annual
Total,Indonesia,2.830482,Annual
Energy,Austria,-11.66509,Annual
Energy,France,-4.764578,Annual
Energy,Iceland,21.6826,Annual
Energy,Ireland,3.474342,Annual
Energy,Japan,-0.4863144,Annual
Energy,Mexico,11.68805,Annual
Energy,Norway,10.20106,Annual
Energy,Sweden,5.056517,Annual
Energy,Chile,12.69324,Annual
Energy,G7,-0.6521172,Annual
Energy,Colombia,8.051816,Annual
Energy,Finland,9.056464,Annual
Energy,Ireland,46.15836,Annual
Energy,OECD - Total,5.580479,Annual
Food,Czech Republic,4.392734,Annual
Food,Luxembourg,3.64607,Annual
Food,Netherlands,3.4,Annual
Food,Norway,3.094333,Annual
Food,United Kingdom,0.7,Annual
Food,China (People's Republic of),3.76,Annual
Food,India,1.344287,Annual
Food,France,13.98088,Annual
